jersey_no,name,min,fieldgoal_ma,fieldgoal_pct,2pt_ma,2pt_pct,3pt_ma,3pt_pct,freethrow_ma,freethrow_pct,rebound_or,rebound_dr,rebound_tot,assist,turnover,steal,block,fouls_pf,fouls_fd,point_diff,points
21,*Mason Amos,23:50,6/10,60.0,3/4,75.0,3/6,50.0,4/5,80.0,4,6,10,2,4,0,0,4,5,13,19
6,*Chris Koon,34:54,6/12,50.0,5/10,50.0,1/2,50.0,4/7,57.1,0,7,7,2,0,0,0,2,6,9,17
25,*Joseph Obasa,16:09,5/6,83.3,5/6,83.3,0/0,0,3/3,100.0,3,5,8,0,3,0,5,5,2,8,13
1,Kai Ballungay,30:17,3/10,30.0,3/6,50.0,0/4,0.0,4/5,80.0,5,5,10,3,1,0,0,0,2,-7,10
5,*Jared Brown,26:01,3/5,60.0,0/0,0,3/5,60.0,0/0,0,0,3,3,2,4,2,0,3,3,8,9
77,Ian Espinosa,19:09,1/4,25.0,1/3,33.3,0/1,0.0,6/6,100.0,0,1,1,1,1,1,0,2,4,-3,8
7,Jason Credo,21:40,3/11,27.3,2/6,33.3,1/5,20.0,1/4,25.0,3,4,7,0,3,2,2,1,2,-1,8
23,Lebron Nieto,08:25,3/6,50.0,2/3,66.7,1/3,33.3,0/0,0,0,2,2,0,0,1,0,1,0,4,7
24,*Sean Quitevis,19:08,0/1,0.0,0/0,0,0/1,0.0,3/4,75.0,2,1,3,4,1,1,0,4,2,8,3
16,Josh Lazaro,07:49,1/2,50.0,1/2,50.0,0/0,0,1/2,50.0,0,2,2,0,0,0,0,1,1,13,3
18,Geo Chiu,12:28,0/2,0.0,0/2,0.0,0/0,0,2/2,100.0,1,2,3,0,2,0,0,0,1,-7,2
13,Gab Gomez,05:04,0/2,0.0,0/1,0.0,0/1,0.0,0/0,0,1,0,1,0,1,1,0,0,0,5,0
Team/Coach,,,,,,,,,,,0,0,0,,1,,,0,,,
Totals,,225:00,31/71,43.7,22/43,51.2,9/28,32.1,28/38,73.7,19,38,57,14,21,8,7,23,28,10,99
